id,veg_class,mean_lichen_biomass
1,20,142.87
2,34,104.54
3,40,0
4,51,0.01
5,52,410.34
6,81,846.03
7,82,317.85
8,83,510.15
9,211,358.15
10,212,644.85
11,213,480.56
12,221,0.9
13,222,0.05
14,231,2.19
15,232,242.31
16,1,110.34
17,2,216.6
18,5,6.75
